,Jurisdiction of Occurrence,MMWR Year,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",Population
0,Alabama,2014,0.01037403659259709,0.009622249911654739,0.00021293738133284755,0.0021159490511687908,0.00026395147753965003,0.00038622008059401063,0.00020736094166651692,0.0006344749131469521,0.00016502130716289544,0.00020343678041983982,0.0002569292942561226,0.002588294144387241,0.0005425669260537251,0.0,0.0,4841799.0
1,Alabama,2015,0.010440514662286106,0.009646672012533317,0.0002095892977151057,0.0020759026508203144,0.00024833343534582335,0.0004589531622532354,0.00021206232777664088,0.0006627720564914257,0.00017661556356130342,0.00020505540926895788,0.00023699871423045384,0.0026265640111888125,0.0005894054979992156,0.0,0.0,4852347.0
2,Alabama,2016,0.01051295099747611,0.009665006348276198,0.0002041728992860117,0.0020900478562359604,0.00023583717571103264,0.0005000488328938372,0.0001918361682113282,0.0006657722536637521,0.0001766208665525519,0.00020149994088649695,0.00024077186814090604,0.0025822834261158317,0.0005845554407554192,0.0,0.0,4863525.0
3,Alabama,2017,0.010694871213087903,0.009824625611808096,0.00020617558446162323,0.0020826811278153224,0.00023243476337812848,0.0005153363862364155,0.00023571716074269165,0.0006983300393108115,0.00019284084516808542,0.0001922253956622298,0.00022710086766071334,0.0026484843735318964,0.0005840615810569565,0.0,0.0,4874486.0
4,Alabama,2018,0.010873459213070575,0.010035843173889622,0.00020520979171922225,0.002124320306501181,0.0002316026761975669,0.0005249933455149794,0.0002530852565869172,0.0007230422771044182,0.00018843291941515823,0.00020582357973034657,0.00019784433558573072,0.0027184671012694976,0.0006088777070352995,0.0,0.0,4887681.0
5,Alabama,2019,0.01082092558204514,0.009961892117062684,0.000208435945207044,0.0020456091295759796,0.00024392308264933914,0.0005318991635029068,0.00019619900126142498,0.0007052558693991762,0.00018212651572396308,0.00019987008444511068,0.00019966613537935037,0.0027078317460997293,0.000616334076727678,0.0,0.0,4903185.0
6,Alabama,2020,0.01280860398079008,0.011896632332718784,0.00019883449943763077,0.002074526514152578,0.00028461795214795995,0.0006160087845440112,0.00021794171860280848,0.000683481152221045,0.00018888282278910068,0.00021097554494883743,0.00022888856291619156,0.0029335552424536934,0.0006595971282645728,0.0013653700361783254,0.0012750088122096723,5024279.0
7,Alabama,2021,0.013262733442231943,0.012253965499859073,0.00022579922527097394,0.00202129920516692,0.0003198822358005464,0.0005296378319075301,0.00019529652290980727,0.0006360011511799099,0.00019212741097617957,0.0002226301133373462,0.0002143111945115735,0.002950839349199096,0.0006451123479890896,0.0018953270058052188,0.0017743065438398109,5048733.0
8,Alabama,2022,0.008738519839280222,0.00808009485750113,0.0001619855993022159,0.0014400697784120071,0.00023338584514849173,0.0003767796906846413,0.00011155052259639774,0.00043097267506657925,0.00015288750703371535,0.0001867086761187934,0.00017859950692295597,0.002073573898759989,0.00044778436730185197,0.0007490103352350324,0.0006137256588947202,5056005.0
9,Alaska,2014,0.00554270572592332,0.0046748329107150375,0.0,0.0012318632916962634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010580170939706608,0.0,0.0,0.0,736283.0
10,Alaska,2015,0.005654252621702025,0.0047010296977076545,0.0,0.0012366135230197234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010616977944346967,1.3559358805040828e-05,0.0,0.0,737498.0
11,Alaska,2016,0.005806143587751667,0.004822942966271768,0.0,0.0012205714162404782,0.0,0.0,0.0,1.618437237003949e-05,0.0,0.0,0.0,0.0010641224833300965,0.0,0.0,0.0,741456.0
12,Alaska,2017,0.005752332026497229,0.0047492226578342575,0.0,0.0011775043936731108,0.0,0.0,0.0,4.05569825604975e-05,0.0,0.0,0.0,0.0010801676355279167,0.0,0.0,0.0,739700.0
13,Alaska,2018,0.005834270797767497,0.0049160770956240924,0.0,0.0012024936780663249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001036538668197443,1.3602869661383766e-05,0.0,0.0,735139.0
14,Alaska,2019,0.006155465487427294,0.0050851280509059595,0.0,0.001324593839066633,0.0,0.0,0.0,1.366969906157516e-05,0.0,0.0,0.0,0.0011031447142691153,0.0,0.0,0.0,731545.0
15,Alaska,2020,0.006921273918005538,0.005839995309459756,0.0,0.0013376220869904321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012108138769087705,1.4998820547293326e-05,0.0002467987744600084,0.00019498466711481325,733391.0
16,Alaska,2021,0.008235615537163572,0.0070299725298250525,0.0,0.001405450811260461,0.0,0.0,0.0,4.4854813125333864e-05,0.0,0.0,0.0,0.0013578775246123798,0.0,0.000986805888757345,0.0008835038948929397,735707.0
17,Alaska,2022,0.005282067891997086,0.004533148563455196,0.0,0.0009962813695383896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009470822895611852,1.9132975546690612e-05,0.00021456265434503043,0.0001831299088040387,731721.0
18,Arizona,2014,0.007839192037695161,0.007065985400895904,2.5109900387985107e-05,0.0017422407807663512,0.00029567279155083055,0.00037991725024898176,0.0001017768151820698,0.0005204732607048037,6.076893052476869e-05,6.388909566173725e-06,0.00017443208908576635,0.0016571048463147804,0.00033831504842273425,0.0,0.0,6730413.0
19,Arizona,2015,0.007962603204017291,0.007177207235013784,3.0894584164753936e-05,0.0017336107891501734,0.0003036747277616098,0.00043208491881606095,9.795486638019139e-05,0.0005395570741569585,7.306349525219059e-05,3.3822980768048145e-05,0.00017292181942452322,0.001695395213477184,0.0003635604382989764,0.0,0.0,6829676.0
20,Arizona,2016,0.008151910828759592,0.007300889545591805,4.192435981070359e-05,0.0017056443154602056,0.00029303830877996944,0.0004441677020494817,0.00012044249072765705,0.0005499150563486447,7.606894151220445e-05,3.644970114126463e-05,0.0002355543927508604,0.001729127719752799,0.0003670902707823806,0.0,0.0,6941072.0
21,Arizona,2017,0.00821762269435242,0.007327788384113135,3.847241513638258e-05,0.0017130872083052718,0.0002904596360481135,0.0004355474894406707,0.00011413956372565165,0.0005417370338023466,8.886985931872877e-05,5.5508170916330586e-05,0.00017191916874597531,0.0017715766364830932,0.000379755389261341,0.0,0.0,7044008.0
